#species name	tax id	core/periphery/adherent	source	source version
Magnetospirillum magneticum AMB-1	342108	core	Refseq	not available
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	342451	core	Refseq	not available
Pseudoalteromonas atlantica T6c	342610	periphery	Refseq	not available
Pyrococcus sp. NA2	342949	core	Refseq	not available
Sodalis glossinidius str. 'morsitans'	343509	core	Refseq	not available
Planctomyces maris DSM 8797	344747	periphery	Refseq	not available
Vibrio cholerae O395	345073	periphery	Refseq	not available
Bacillus coagulans 36D1	345219	periphery	Refseq	not available
Mycoplasma hominis ATCC 23114	347256	periphery	Refseq	not available
Rhizobium etli CFN 42	347834	periphery	Refseq	not available
Natronomonas pharaonis DSM 2160	348780	core	Refseq	not available
Rhodobacter sphaeroides ATCC 17025	349102	core	Refseq	not available
Psychrobacter sp. PRwf-1	349106	periphery	Refseq	not available
Lactobacillus reuteri 100-23	349123	periphery	Refseq	not available
Halorhodospira halophila SL1	349124	core	Refseq	not available
Desulfotomaculum reducens MI-1	349161	periphery	Refseq	not available
Acidiphilium cryptum JF-5	349163	core	Refseq	not available
Methanosaeta thermophila PT	349307	periphery	Refseq	not available
Leuconostoc citreum KM20	349519	periphery	Refseq	not available
Paenibacillus polymyxa E681	349520	periphery	Refseq	not available
Hahella chejuensis KCTC 2396	349521	core	Refseq	not available
Akkermansia muciniphila ATCC BAA-835	349741	core	Refseq	not available
Mycobacterium gilvum PYR-GCK	350054	periphery	Refseq	not available
Mycobacterium vanbaalenii PYR-1	350058	periphery	Refseq	not available
Alkaliphilus oremlandii OhILAs	350688	periphery	Refseq	not available
Burkholderia dolosa AUO158	350701	periphery	Refseq	not available
Roseobacter sp. AzwK-3b	351016	core	Refseq	not available
Methanocella arvoryzae MRE50	351160	core	Refseq	not available
Marinobacter aquaeolei VT8	351348	core	Refseq	not available
Geobacter uraniireducens Rf4	351605	periphery	Refseq	not available
Acidothermus cellulolyticus 11B	351607	core	Refseq	not available
Caldicellulosiruptor saccharolyticus DSM 8903	351627	periphery	Refseq	not available
Pseudomonas putida F1 156	351746	periphery	Refseq	not available
Pyramidobacter piscolens W5455	352165	core	Refseq	not available
Plasmodium yoelii yoelii 17XNL	352914	periphery	Refseq	protozoa
Cryptosporidium hominis TU502	353151	periphery	Refseq	protozoa
Cryptosporidium parvum Iowa II	353152	core	Refseq	protozoa
Trypanosoma cruzi strain CL Brener	353153	periphery	Refseq	protozoa
Theileria annulata strain Ankara	353154	periphery	Refseq	protozoa
Campylobacter jejuni subsp. jejuni 81-176	354242	periphery	Refseq	not available
Leptospira borgpetersenii serovar Hardjo-bovis L550	355276	periphery	Refseq	not available
Orientia tsutsugamushi str. Boryong	357244	core	Refseq	not available
Psychromonas ingrahamii 37	357804	core	Refseq	not available
Roseiflexus sp. RS-1	357808	periphery	Refseq	not available
Clostridium phytofermentans ISDg	357809	periphery	Refseq	not available
Brevibacillus brevis NBRC 100599	358681	core	Refseq	not available
Bartonella bacilliformis KC583	360095	core	Refseq	not available
Campylobacter concisus 13826	360104	periphery	Refseq	not available
Campylobacter curvus 525.92	360105	periphery	Refseq	not available
Campylobacter hominis ATCC BAA-381	360107	core	Refseq	not available
Bordetella avium 197N	360910	periphery	Refseq	not available
Exiguobacterium sp. AT1b	360911	core	Refseq	not available
Escherichia coli 536 48	362663	periphery	Refseq	not available
Lactobacillus salivarius UCC118	362948	periphery	Refseq	not available
Haloquadratum walsbyi DSM 16790	362976	core	Refseq	not available
Lawsonia intracellularis PHE/MN1-00	363253	core	Refseq	not available
Polaromonas naphthalenivorans CJ2	365044	periphery	Refseq	not available
Ramlibacter tataouinensis TTB310	365046	core	Refseq	not available
Streptococcus mitis B6	365659	periphery	Refseq	not available
Sinorhizobium medicae WSM419	366394	core	Refseq	not available
Caulobacter sp. K31	366602	core	Refseq	not available
Rhodobacterales bacterium HTCC2255	367336	periphery	Refseq	not available
Arcobacter butzleri RM4018	367737	core	Refseq	not available
Cryptococcus gattii WM276	367775	core	Refseq	fungi
Bifidobacterium adolescentis ATCC 15703	367928	core	Refseq	not available
Methanoculleus marisnigri JR1	368407	core	Refseq	not available
Thermofilum pendens Hrk 5	368408	core	Refseq	not available
Salinispora tropica CNB-440	369723	periphery	Refseq	not available
Entamoeba dispar SAW760	370354	periphery	Refseq	protozoa
Pelotomaculum thermopropionicum SI	370438	core	Refseq	not available
Rhodobacter sp. SW2	371731	periphery	Refseq	not available
Buchnera aphidicola BCc	372461	periphery	Refseq	not available
Streptococcus pneumoniae D39	373153	periphery	Refseq	not available
Halothermothrix orenii H 168	373903	core	Refseq	not available
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	374463	periphery	Refseq	not available
Candidatus Korarchaeum cryptofilum OPF8	374847	core	Refseq	not available
Janthinobacterium sp. Marseille	375286	core	Refseq	not available
Roseobacter denitrificans OCh 114	375451	periphery	Refseq	not available
Francisella tularensis subsp. holarctica LVS	376619	core	Refseq	not available
Flavobacterium johnsoniae UW101	376686	core	Refseq	not available
Chlorobium ferrooxidans DSM 13031	377431	periphery	Refseq	not available
Teredinibacter turnerae T7901	377629	core	Refseq	not available
Kocuria rhizophila DC2201	378753	core	Refseq	not available
Stigmatella aurantiaca DW4/3-1	378806	core	Refseq	not available
Gemmatimonas aurantiaca T-27	379066	core	Refseq	not available
Lodderomyces elongisporus NRRL YB 4239	379508	core	Refseq	fungi
Pseudomonas stutzeri A1501	379731	periphery	Refseq	not available
Acidithiobacillus ferrooxidans ATCC 53993	380394	core	Refseq	not available
Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	periphery	Refseq	not available
Hydrogenobaculum sp. Y04AAS1	380749	core	Refseq	not available
Lachancea thermotolerans	381046	periphery	Refseq	fungi
Ralstonia eutropha H16	381666	core	Refseq	not available
Fervidobacterium nodosum Rt17-B1	381764	core	Refseq	not available
Aeromonas salmonicida subsp. salmonicida A449	382245	periphery	Refseq	not available
Verrucomicrobiae bacterium DG1235	382464	periphery	Refseq	not available
Helicobacter acinonychis str. Sheeba	382638	periphery	Refseq	not available
Bartonella tribocorum CIP 105476	382640	periphery	Refseq	not available
Roseiflexus castenholzii DSM 13941	383372	core	Refseq	not available
Xanthomonas oryzae pv. oryzicola BLS256	383407	core	Refseq	not available
Methylophilales bacterium HTCC2181	383631	periphery	Refseq	not available
Pyrobaculum islandicum DSM 4184	384616	core	Refseq	not available
Pseudomonas entomophila L48	384676	core	Refseq	not available
Labrenzia aggregata IAM 12614	384765	core	Refseq	not available
Listeria welshimeri serovar 6b str. SLCC5334	386043	periphery	Refseq	not available
Clostridium novyi NT	386415	periphery	Refseq	not available
Nitratiruptor sp. SB155-2	387092	core	Refseq	not available
Sulfurovum sp. NBC37-1	387093	core	Refseq	not available
Lactobacillus brevis ATCC 367	387344	periphery	Refseq	not available
Candidatus Carsonella ruddii PV	387662	core	Refseq	not available
Sagittula stellata E-37	388399	core	Refseq	not available
Bacillus sp. B14905	388400	periphery	Refseq	not available
Rhodobacteraceae bacterium HTCC2150	388401	periphery	Refseq	not available
Algoriphagus sp. PR1	388413	core	Refseq	not available
Roseobacter sp. SK209-2-6	388739	periphery	Refseq	not available
Streptococcus sanguinis SK36	388919	periphery	Refseq	not available
Pseudomonas putida W619	390235	periphery	Refseq	not available
Borrelia afzelii PKo	390236	periphery	Refseq	not available
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	390333	periphery	Refseq	not available
Thermotoga petrophila RKU-1	390874	periphery	Refseq	not available
Stenotrophomonas maltophilia R551-3	391008	periphery	Refseq	not available
Thermosipho melanesiensis BI429	391009	core	Refseq	not available
Salinispora arenicola CNS-205	391037	core	Refseq	not available
Burkholderia phymatum STM815	391038	periphery	Refseq	not available
Granulibacter bethesdensis CGDNIH1	391165	core	Refseq	not available
Streptococcus suis 05ZYH33	391295	periphery	Refseq	not available
Vibrionales bacterium SWAT-3	391574	periphery	Refseq	not available
Kordia algicida OT-1	391587	core	Refseq	not available
Roseobacter sp. GAI101	391589	periphery	Refseq	not available
Vibrio shilonii AK1	391591	periphery	Refseq	not available
Caminibacter mediatlanticus TB-2	391592	core	Refseq	not available
Roseobacter sp. CCS2	391593	periphery	Refseq	not available
Roseobacter litoralis Och 149	391595	periphery	Refseq	not available
Pedobacter sp. BAL39	391596	core	Refseq	not available
Limnobacter sp. MED105	391597	core	Refseq	not available
Flavobacteria bacterium BAL38	391598	periphery	Refseq	not available
Brevundimonas sp. BAL3	391600	core	Refseq	not available
Flavobacteriales bacterium ALC-1	391603	periphery	Refseq	not available
Cyanothece sp. CCY0110	391612	periphery	Refseq	not available
Roseovarius sp. TM1035	391613	core	Refseq	not available
gamma proteobacterium HTCC5015	391615	periphery	Refseq	not available
Octadecabacter antarcticus 238	391616	periphery	Refseq	not available
Phaeobacter gallaeciensis DSM 17395	391619	core	Refseq	not available
Thermococcus barophilus MP	391623	periphery	Refseq	not available
Oceanibulbus indolifex HEL-45	391624	core	Refseq	not available
Plesiocystis pacifica SIR-1	391625	core	Refseq	not available
Octadecabacter antarcticus 307	391626	core	Refseq	not available
Verminephrobacter eiseniae EF01-2	391735	core	Refseq	not available
Rickettsia bellii OSU 85-389	391896	periphery	Refseq	not available
Sphingomonas wittichii RW1	392499	periphery	Refseq	not available
Shewanella woodyi ATCC 51908	392500	periphery	Refseq	not available
Yersinia enterocolitica subsp. enterocolitica 8081	393305	periphery	Refseq	not available
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	393480	periphery	Refseq	not available
Alcanivorax borkumensis SK2	393595	periphery	Refseq	not available
Maricaulis maris MCS10	394221	core	Refseq	not available
Clostridium cellulolyticum H10	394503	periphery	Refseq	not available
Burkholderia multivorans ATCC 17616	395019	periphery	Refseq	not available
Rhizobium leguminosarum bv. trifolii WSM2304	395492	periphery	Refseq	not available
Gallionella capsiferriformans ES-2	395494	core	Refseq	not available
Leptothrix cholodnii SP-6	395495	core	Refseq	not available
Cyanothece sp. PCC 7425	395961	periphery	Refseq	not available
Beijerinckia indica subsp. indica ATCC 9039	395963	core	Refseq	not available
Methylocella silvestris BL2	395965	core	Refseq	not available
Staphylococcus carnosus subsp. carnosus TM300	396513	periphery	Refseq	not available
Thioalkalivibrio sulfidophilus HL-EbGr7	396588	periphery	Refseq	not available
Thioalkalivibrio sp. K90mix	396595	core	Refseq	not available
Acidovorax citrulli AAC00-1	397945	core	Refseq	not available
Caldivirga maquilingensis IC-167	397948	core	Refseq	not available
Bacillus pseudofirmus OF4	398511	periphery	Refseq	not available
Bifidobacterium bifidum NCIMB 41171	398513	periphery	Refseq	not available
Burkholderia phytofirmans PsJN	398527	periphery	Refseq	not available
Delftia acidovorans SPH-1	398578	core	Refseq	not available
Shewanella pealeana ATCC 700345	398579	periphery	Refseq	not available
Dinoroseobacter shibae DFL 12	398580	core	Refseq	not available
Leeuwenhoekiella blandensis MED217	398720	core	Refseq	not available
Geobacter lovleyi SZ	398767	periphery	Refseq	not available
Metallosphaera sedula DSM 5348	399549	periphery	Refseq	not available
Staphylothermus marinus F1	399550	core	Refseq	not available
Pseudomonas mendocina ymp	399739	periphery	Refseq	not available
Serratia proteamaculans 568	399741	core	Refseq	not available
Enterobacter sp. 638	399742	core	Refseq	not available
Comamonas testosteroni KF-1	399795	core	Refseq	not available
Marinomonas sp. MWYL1	400668	core	Refseq	not available
Amphimedon queenslandica	400682	core	Ensembl Metazoa	release 17
Terriglobus saanensis SP1PR4	401053	core	Refseq	not available
Bifidobacterium dentium Bd1	401473	periphery	Refseq	not available
Thermosinus carboxydivorans Nor1	401526	core	Refseq	not available
Flavobacterium psychrophilum JIP02/86	402612	periphery	Refseq	not available
Ralstonia pickettii 12J	402626	periphery	Refseq	not available
Schizosaccharomyces japonicus yFS275	402676	periphery	Refseq	fungi
Methanococcus maripaludis C5	402880	periphery	Refseq	not available
Parvibaculum lavamentivorans DS-1	402881	core	Refseq	not available
Petrotoga mobilis SJ95	403833	core	Refseq	not available
Geobacter bemidjiensis Bem	404380	periphery	Refseq	not available
Anaeromyxobacter sp. Fw109-5	404589	periphery	Refseq	not available
Lactobacillus helveticus DPC 4571	405566	periphery	Refseq	not available
Saccharopolyspora erythraea NRRL 2338	405948	core	Refseq	not available
Bacillus sp. m3-13	406124	periphery	Refseq	not available
Methanococcus vannielii SB	406327	periphery	Refseq	not available
Xenorhabdus nematophila ATCC 19061	406817	periphery	Refseq	not available
Xenorhabdus bovienii SS-2004	406818	core	Refseq	not available
Nocardioidaceae bacterium Broad-1	408672	periphery	Refseq	not available
Methanocorpusculum labreanum Z	410358	core	Refseq	not available
Pyrobaculum calidifontis JCM 11548	410359	periphery	Refseq	not available
Gramella forsetii KT0803	411154	core	Refseq	not available
Ruminococcus obeum ATCC 29174	411459	periphery	Refseq	not available
Ruminococcus torques ATCC 27756	411460	periphery	Refseq	not available
Dorea formicigenerans ATCC 27755	411461	periphery	Refseq	not available
Dorea longicatena DSM 13814	411462	core	Refseq	not available
Eubacterium ventriosum ATCC 27560	411463	periphery	Refseq	not available
Desulfovibrio piger ATCC 29098	411464	periphery	Refseq	not available
Parvimonas micra ATCC 33270	411465	periphery	Refseq	not available
Actinomyces odontolyticus ATCC 17982	411466	periphery	Refseq	not available
Pseudoflavonifractor capillosus ATCC 29799	411467	core	Refseq	not available
Clostridium scindens ATCC 35704	411468	periphery	Refseq	not available
Eubacterium hallii DSM 3353	411469	periphery	Refseq	not available
Ruminococcus gnavus ATCC 29149	411470	periphery	Refseq	not available
Subdoligranulum variabile DSM 15176	411471	core	Refseq	not available
Coprococcus eutactus ATCC 27759	411474	periphery	Refseq	not available
Bacteroides ovatus ATCC 8483	411476	periphery	Refseq	not available
Parabacteroides merdae ATCC 43184	411477	core	Refseq	not available
Faecalibacterium prausnitzii A2-165	411483	periphery	Refseq	not available
Clostridium sp. L2-50	411489	periphery	Refseq	not available
Anaerostipes caccae DSM 14662	411490	core	Refseq	not available
Hoeflea phototrophica DFL-43	411684	core	Refseq	not available
Bacteroides caccae ATCC 43185	411901	periphery	Refseq	not available
Clostridium bolteae ATCC BAA-613	411902	periphery	Refseq	not available
Collinsella aerofaciens ATCC 25986	411903	periphery	Refseq	not available
Paramecium tetraurelia strain d4 2	412030	periphery	Refseq	protozoa
Trichomonas vaginalis G3	412133	periphery	Refseq	protozoa
Borrelia duttonii Ly	412419	periphery	Refseq	not available
Paracoccus sp. TRP	412597	periphery	Refseq	not available
Candidatus Vesicomyosocius okutanii HA	412965	periphery	Refseq	not available
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	413404	periphery	Refseq	not available
Rhodospirillum centenum SW	414684	periphery	Refseq	not available
Hyperthermus butylicus DSM 5456	415426	core	Refseq	not available
Actinobacillus pleuropneumoniae serovar 5b str. L20	416269	core	Refseq	not available
Halorubrum lacusprofundi ATCC 49239	416348	core	Refseq	not available
Thermotoga lettingae TMO	416591	core	Refseq	not available
Lactococcus lactis subsp. cremoris MG1363	416870	core	Refseq	not available
Methylobacterium extorquens PA1	419610	core	Refseq	not available
Methanococcus aeolicus Nankai-3	419665	periphery	Refseq	not available
Mycobacterium tuberculosis H37Ra 303	419947	periphery	Refseq	not available
Leishmania braziliensis MHOM BR 75 M2904	420245	periphery	Refseq	protozoa
Geobacillus thermodenitrificans NG80-2	420246	periphery	Refseq	not available
Methanobrevibacter smithii ATCC 35061	420247	periphery	Refseq	not available
Epulopiscium sp. 'N.t. morphotype B'	420336	core	Refseq	not available
Methylibium petroleiphilum PM1	420662	core	Refseq	not available
Lactococcus garvieae Lg2	420890	periphery	Refseq	not available
Perkinsus marinus ATCC 50983	423536	periphery	Refseq	protozoa
Shewanella sediminis HAW-EB3	425104	periphery	Refseq	not available
Malassezia globosa CBS 7966	425265	periphery	Refseq	fungi
Thiomonas sp. 3As	426114	core	Refseq	not available
Methylobacterium sp. 4-46	426117	periphery	Refseq	not available
Methylobacterium radiotolerans JCM 2831	426355	periphery	Refseq	not available
Methanococcus maripaludis C7	426368	periphery	Refseq	not available
Pyrenophora tritici repentis Pt 1C BFP	426418	core	Refseq	fungi
Clostridium leptum DSM 753	428125	periphery	Refseq	not available
Clostridium spiroforme DSM 1552	428126	periphery	Refseq	not available
Eubacterium dolichum DSM 3991	428127	periphery	Refseq	not available
Ammonifex degensii KC4	429009	core	Refseq	not available
Brucella abortus S19 89	430066	periphery	Refseq	not available
Monosiga brevicollis MX1	431895	core	Refseq	protozoa
Clostridium kluyveri DSM 555	431943	periphery	Refseq	not available
Porphyromonas gingivalis ATCC 33277	431947	periphery	Refseq	not available
Neorickettsia risticii str. Illinois	434131	core	Refseq	not available
Leishmania infantum JPCM5	435258	core	Refseq	protozoa
Bacteroides vulgatus ATCC 8482	435590	periphery	Refseq	not available
Parabacteroides distasonis ATCC 8503	435591	periphery	Refseq	not available
Neisseria mucosa C102	435832	periphery	Refseq	not available
Staphylococcus hominis subsp. hominis C80	435837	periphery	Refseq	not available
Staphylococcus caprae C87	435838	periphery	Refseq	not available
Streptococcus sp. C150	435842	periphery	Refseq	not available
Ostreococcus lucimarinus CCE9901	436017	periphery	Uniprot	not available
Sulfurihydrogenibium sp. YO3AOP1	436114	periphery	Refseq	not available
Nitrosopumilus maritimus SCM1	436308	core	Refseq	not available
Acinetobacter oleivorans DR1	436717	periphery	Refseq	not available
Vanderwaltozyma polyspora DSM 70294	436907	core	Refseq	fungi
Azorhizobium caulinodans ORS 571	438753	core	Refseq	not available
Desulfatibacillum alkenivorans AK-01	439235	core	Refseq	not available
Bacillus selenitireducens MLS10	439292	periphery	Refseq	not available
Ochrobactrum anthropi ATCC 49188	439375	core	Refseq	not available
Aciduliprofundum boonei T469	439481	core	Refseq	not available
Campylobacterales bacterium GD 1	439483	periphery	Refseq	not available
Candidatus Pelagibacter sp. HTCC7211	439493	core	Refseq	not available
Rhodobacterales bacterium Y4I	439496	periphery	Refseq	not available
Ruegeria sp. R11	439497	periphery	Refseq	not available
Lactobacillus jensenii 1153	440497	periphery	Refseq	not available
Cryptosporidium muris RN66	441375	periphery	Refseq	protozoa
Methylobacterium populi BJ001	441620	core	Refseq	not available
Acholeplasma laidlawii PG-8A	441768	core	Refseq	not available
Bacillus coahuilensis m4-4	441769	core	Refseq	not available
Talaromyces stipitatus ATCC 10500	441959	core	Refseq	fungi
Penicillium marneffei ATCC 18224	441960	periphery	Refseq	fungi
Geobacter sp. M18	443143	periphery	Refseq	not available
Geobacter sp. M21	443144	periphery	Refseq	not available
Marinobacter algicola DG893	443152	periphery	Refseq	not available
Amycolicicoccus subflavus DQS3-9A1	443218	core	Refseq	not available
Marinitoga piezophila KA3	443254	core	Refseq	not available
Streptomyces clavuligerus ATCC 27064	443255	periphery	Refseq	not available
Clavibacter michiganensis subsp. michiganensis NCPPB 382	443906	core	Refseq	not available
Thermoproteus neutrophilus V24Sta	444157	periphery	Refseq	not available
Methanococcus maripaludis C6	444158	periphery	Refseq	not available
Lysinibacillus sphaericus C3-41	444177	periphery	Refseq	not available
Rickettsia endosymbiont of Ixodes scapularis	444612	periphery	Refseq	not available
Clostridium botulinum NCTC 2916	445335	periphery	Refseq	not available
Clostridium botulinum C str. Eklund	445337	periphery	Refseq	not available
Elusimicrobium minutum Pei191	445932	core	Refseq	not available
Alistipes putredinis DSM 17216	445970	periphery	Refseq	not available
Anaerofustis stercorihominis DSM 17244	445971	core	Refseq	not available
Anaerotruncus colihominis DSM 17241	445972	core	Refseq	not available
Clostridium bartlettii DSM 16795	445973	periphery	Refseq	not available
Clostridium ramosum DSM 1402	445974	periphery	Refseq	not available
Collinsella stercoris DSM 13279	445975	periphery	Refseq	not available
Borrelia valaisiana VS116	445987	periphery	Refseq	not available
Actinosynnema mirum DSM 43827	446462	core	Refseq	not available
Brachybacterium faecium DSM 4810	446465	core	Refseq	not available
Cellulomonas flavigena DSM 20109	446466	periphery	Refseq	not available
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	446468	core	Refseq	not available
Sanguibacter keddieii DSM 10542	446469	core	Refseq	not available
Stackebrandtia nassauensis DSM 44728	446470	core	Refseq	not available
Xylanimonas cellulosilytica DSM 15894	446471	core	Refseq	not available
Sorangium cellulosum 'So ce 56'	448385	core	Refseq	not available
Microcystis aeruginosa NIES-843	449447	core	Refseq	not available
Bacteroides stercoris ATCC 43183	449673	periphery	Refseq	not available
Phenylobacterium zucineum HLK1	450851	core	Refseq	not available
Clostridium perfringens NCTC 8239	451757	periphery	Refseq	not available
Candidatus Amoebophilus asiaticus 5a2	452471	core	Refseq	not available
Opitutus terrae PB90-1	452637	core	Refseq	not available
Polynucleobacter necessarius subsp. necessarius STIR1	452638	periphery	Refseq	not available
Kitasatospora setae KM-6054	452652	core	Refseq	not available
Sphingobium japonicum UT26S	452662	periphery	Refseq	not available
Arthrobacter chlorophenolicus A6	452863	core	Refseq	not available
Ignicoccus hospitalis KIN4/I	453591	core	Refseq	not available
Glaciecola sp. HTCC2999	455436	core	Refseq	not available
Streptomyces griseus subsp. griseus NBRC 13350	455632	periphery	Refseq	not available
Methanococcus voltae A3	456320	core	Refseq	not available
Methanoregula boonei 6A8	456442	core	Refseq	not available
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	456481	core	Refseq	not available
Clostridium sp. 7_2_43FAA	457396	periphery	Refseq	not available
Desulfovibrio sp. 3_1_syn3	457398	periphery	Refseq	not available
Fusobacterium sp. 7_1	457405	periphery	Refseq	not available
Ruminococcus sp. 5_1_39BFAA	457412	core	Refseq	not available
Clostridiales bacterium 1_7_47FAA	457421	periphery	Refseq	not available
Bacteroides fragilis 3_1_12	457424	periphery	Refseq	not available
Streptomyces albus J1074	457425	periphery	Refseq	not available
Streptomyces himastatinicus ATCC 53653	457427	periphery	Refseq	not available
Streptomyces pristinaespiralis ATCC 25486	457429	periphery	Refseq	not available
Natranaerobius thermophilus JW/NM-WN-LF	457570	core	Refseq	not available
Macrococcus caseolyticus JCSC5402	458233	core	Refseq	not available
Shewanella halifaxensis HAW-EB4	458817	periphery	Refseq	not available
Methylobacterium nodulans ORS 2060	460265	periphery	Refseq	not available
Streptomyces sviceus ATCC 29083	463191	periphery	Refseq	not available
Micrococcus luteus NCTC 2665	465515	core	Refseq	not available
Streptomyces sp. Mg1	465541	periphery	Refseq	not available
Erwinia tasmaniensis Et1/99	465817	periphery	Refseq	not available
Streptomyces griseoflavus Tu4000	467200	periphery	Refseq	not available
Rhodobacteraceae bacterium KLH11	467661	periphery	Refseq	not available
Streptococcus gordonii str. Challis substr. CH1	467705	periphery	Refseq	not available
Escherichia coli BL21(DE3)	469008	periphery	Refseq	not available
Thermobispora bispora DSM 43833	469371	core	Refseq	not available
Cryptobacterium curtum DSM 15641	469378	core	Refseq	not available
Dethiosulfovibrio peptidovorans DSM 11002	469381	core	Refseq	not available
Halogeometricum borinquense DSM 11551	469382	core	Refseq	not available
Conexibacter woesei DSM 14684	469383	core	Refseq	not available
Citrobacter sp. 30_2	469595	periphery	Refseq	not available
Coprobacillus sp. 29_1	469596	core	Refseq	not available
Fusobacterium sp. 4_1_13	469606	periphery	Refseq	not available
Burkholderiales bacterium 1_1_47	469610	periphery	Refseq	not available
Enterobacteriaceae bacterium 9_2_54FAA	469613	periphery	Refseq	not available
Fusobacterium gonidiaformans ATCC 25563	469615	periphery	Refseq	not available
Fusobacterium mortiferum ATCC 9817	469616	periphery	Refseq	not available
Fusobacterium ulcerans ATCC 49185	469617	periphery	Refseq	not available
Fusobacterium varium ATCC 27725	469618	periphery	Refseq	not available
Bacteroides coprocola DSM 17136	470145	periphery	Refseq	not available
Coprococcus comes ATCC 27758	470146	periphery	Refseq	not available
Geobacillus sp. WCH70	471223	periphery	Refseq	not available
uncultured Termite group 1 bacterium phylotype Rs-D17	471821	periphery	Refseq	not available
Thermomonospora curvata DSM 43183	471852	core	Refseq	not available
Beutenbergia cavernae DSM 12333	471853	core	Refseq	not available
Dyadobacter fermentans DSM 18053	471854	core	Refseq	not available
Slackia heliotrinireducens DSM 20476	471855	core	Refseq	not available
Jonesia denitrificans DSM 20603	471856	core	Refseq	not available
Saccharomonospora viridis DSM 43017	471857	core	Refseq	not available
Bacteroides intestinalis DSM 17393	471870	periphery	Refseq	not available
Providencia stuartii ATCC 25827	471874	core	Refseq	not available
Ruminococcus lactaris ATCC 29176	471875	periphery	Refseq	not available
Proteus penneri ATCC 35198	471881	periphery	Refseq	not available
Nitrosococcus halophilus Nc4	472759	core	Refseq	not available
Blautia hydrogenotrophica DSM 10507	476272	periphery	Refseq	not available
Candidatus Desulforudis audaxviator MP104C	477974	core	Refseq	not available
Marvinbryantia formatexigens DSM 14469	478749	periphery	Refseq	not available
Kytococcus sedentarius DSM 20547	478801	core	Refseq	not available
Nakamurella multipartita DSM 44233	479431	core	Refseq	not available
Streptosporangium roseum DSM 43021	479432	core	Refseq	not available
Catenulispora acidiphila DSM 44928	479433	core	Refseq	not available
Sphaerobacter thermophilus DSM 20745	479434	core	Refseq	not available
Kribbella flavida DSM 17836	479435	core	Refseq	not available
Veillonella parvula DSM 2008	479436	periphery	Refseq	not available
Eggerthella lenta DSM 2243	479437	core	Refseq	not available
Methylacidiphilum infernorum V4	481448	core	Refseq	not available
Paenibacillus sp. Y412MC10	481743	periphery	Refseq	not available
Escherichia coli ATCC 8739 44	481805	periphery	Refseq	not available
Bacteroides finegoldii DSM 17565	483215	periphery	Refseq	not available
Bacteroides eggerthii DSM 20697	483216	core	Refseq	not available
[Bacteroides] pectinophilus ATCC 43243	483218	core	Refseq	not available
Myxococcus fulvus HW-1	483219	core	Refseq	not available
Bacteroides plebeius DSM 17135	484018	periphery	Refseq	not available
Thermosipho africanus TCF52B	484019	periphery	Refseq	not available
Francisella philomiragia subsp. philomiragia ATCC 25017	484022	periphery	Refseq	not available
Ktedonobacter racemifer DSM 44963	485913	core	Refseq	not available
Halomicrobium mukohataei DSM 12286	485914	core	Refseq	not available
Desulfohalobium retbaense DSM 5692	485915	core	Refseq	not available
Desulfotomaculum acetoxidans DSM 771	485916	periphery	Refseq	not available
Pedobacter heparinus DSM 2366	485917	periphery	Refseq	not available
Chitinophaga pinensis DSM 2588	485918	core	Refseq	not available
Laccaria bicolor S238N H82	486041	core	Refseq	fungi
Flavobacteria bacterium MS024-2A	487796	periphery	Refseq	not available
Flavobacteria bacterium MS024-3C	487797	periphery	Refseq	not available
Candidatus Puniceispirillum marinum IMCC1322	488538	core	Refseq	not available
Neisseria lactamica 020-06	489653	periphery	Refseq	not available
Moorea producta 3L	489825	core	Refseq	not available
Desulfurococcus kamchatkensis 1221n	490899	core	Refseq	not available
Anoxybacillus flavithermus WK1	491915	core	Refseq	not available
Rhizobium etli CIAT 652	491916	periphery	Refseq	not available
Marinomonas posidonica IVIA-Po-181	491952	periphery	Refseq	not available
Mycoplasma fermentans PG18	496833	periphery	Refseq	not available
Chthoniobacter flavus Ellin428	497964	core	Refseq	not available
Cyanothece sp. PCC 7822	497965	periphery	Refseq	not available
Cellvibrio japonicus Ueda107	498211	core	Refseq	not available
Edwardsiella tarda EIB202	498217	core	Refseq	not available
Borrelia spielmanii A14S	498742	core	Refseq	not available
Heliobacterium modesticaldum Ice1	498761	core	Refseq	not available
Thermus aquaticus Y51MC23	498848	core	Refseq	not available
Clostridium sticklandii DSM 519	499177	periphery	Refseq	not available
Tepidanaerobacter sp. Re1	499229	core	Refseq	not available
Penicillium chrysogenum Wisconsin 54 1255	500485	core	Refseq	fungi
Clostridium hiranonis DSM 13275	500633	periphery	Refseq	not available
Mitsuokella multacida DSM 20544	500635	core	Refseq	not available
Providencia rustigianii DSM 4541	500637	periphery	Refseq	not available
Enterobacter cancerogenus ATCC 35316	500639	periphery	Refseq	not available
Citrobacter youngae ATCC 29220	500640	periphery	Refseq	not available
